DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,"Percent Satisfaction:
Instructional Core","Percent Satisfaction:
Systems for Improvement",Percent Satisfaction: School Culture
,,,,,,,
01M015,P.S. 015 Roberto Clemente,44%,92%, ,98%,98%,96%
01M019,P.S. 019 Asher Levy,100%,97%, ,95%,92%,95%
01M020,P.S. 020 Anna Silver,56%,52%, ,87%,86%,88%
01M034,P.S. 034 Franklin D. Roosevelt,29%,67%,95%,89%,87%,85%
01M063,The STAR Academy - P.S.63,80%,89%, ,90%,86%,92%
01M064,P.S. 064 Robert Simon,32%,77%, ,97%,95%,94%
01M110,P.S. 110 Florence Nightingale,81%,86%, ,85%,81%,87%
01M134,P.S. 134 Henrietta Szold,47%,81%, ,92%,89%,87%
01M137,P.S. 137 John L. Bernstein,61%,74%, ,82%,76%,78%
01M140,P.S. 140 Nathan Straus,52%,81%,98%,87%,85%,86%
01M142,P.S. 142 Amalia Castro,89%,83%, ,95%,90%,93%
01M184,P.S. 184m Shuang Wen,86%,66%,99%,82%,73%,86%
01M188,P.S. 188 The Island School,79%,78%,96%,97%,98%,97%
01M292,Henry Street School for International Studies,40%,81%,59%,83%,80%,81%
01M301,"Technology, Arts, and Sciences Studio",26%,88%,86%,84%,83%,84%
01M315,The East Village Community School,61%,77%, ,94%,90%,93%
01M332,University Neighborhood Middle School,86%,100%,97%,97%,98%,96%
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",65%,82%,97%,82%,80%,82%
01M361,The Children's Workshop School,38%,70%, ,95%,92%,95%
01M363,Neighborhood School,57%,92%, ,93%,90%,95%
01M364,Earth School,45%,100%, ,96%,95%,96%
01M378,School for Global Leaders,67%,90%,85%,79%,73%,77%
01M448,University Neighborhood High School,42%,100%,80%,94%,92%,92%
01M450,East Side Community School,46%,94%,81%,94%,95%,94%
01M458,Forsyth Satellite Academy,28%,100%,63%,89%,87%,89%
01M509,Marta Valle High School,8%,81%,54%,64%,58%,65%
01M515,Lower East Side Preparatory High School,56%,100%,88%,93%,93%,92%
01M539,"New Explorations into Science, Technology and Math High School",55%,88%,94%,79%,74%,84%
01M650,Cascades High School,18%,85%,77%,93%,91%,91%
01M696,Bard High School Early College,48%,80%,94%,88%,89%,93%
01M839,Tompkins Square Middle School,55%,83%,90%,94%,93%,94%
02M001,P.S. 001 Alfred E. Smith,54%,91%, ,87%,83%,88%
02M002,P.S. 002 Meyer London,88%,81%, ,90%,85%,90%
02M003,P.S. 003 Charrette School,64%,91%, ,96%,94%,96%
02M006,P.S. 006 Lillie D. Blake,52%,74%, ,95%,93%,95%
02M011,P.S. 011 William T. Harris,80%,100%, ,97%,96%,96%
02M033,P.S. 033 Chelsea Prep,76%,68%, ,94%,93%,95%
02M040,P.S. 040 Augustus Saint-Gaudens,36%,61%, ,93%,92%,96%
02M041,P.S. 041 Greenwich Village,67%,90%, ,98%,95%,98%
02M042,P.S. 042 Benjamin Altman,100%,84%, ,98%,96%,96%
02M047,47 The American Sign Language and English Secondary School,33%,77%,87%,80%,76%,85%
02M051,P.S. 051 Elias Howe,85%,88%, ,97%,95%,95%
02M059,P.S. 059 Beekman Hill International,62%,53%, ,97%,96%,96%
02M077,P.S. 77 Lower Lab School,74%,78%, ,97%,93%,95%
02M089,P.S. 89,55%,97%, ,97%,91%,96%
02M104,J.H.S. 104 Simon Baruch,82%,97%,98%,90%,89%,86%
02M111,P.S. 111 Adolph S. Ochs,23%,80%,75%,84%,77%,80%
02M114,East Side Middle School,88%,100%,98%,93%,94%,95%
02M116,P.S. 116 Mary Lindley Murray,46%,73%, ,91%,86%,90%
02M124,P.S. 124 Yung Wing,100%,77%, ,87%,84%,91%
02M126,P.S. 126 Jacob August Riis,34%,72%,95%,94%,93%,92%
02M130,P.S. 130 Hernando De Soto,77%,98%, ,97%,96%,96%
02M131,M.S. 131,72%,100%,93%,94%,93%,92%
02M135,The Urban Assembly School for Emergency Management,60%,100%,89%,95%,92%,94%
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,55%,100%,100%,93%,93%,90%
02M150,P.S. 150,62%,89%, ,97%,95%,97%
02M151,Yorkville Community School,51%,81%, ,96%,93%,96%
02M158,P.S. 158 Bayard Taylor,46%,43%, ,93%,89%,91%
02M167,J.H.S. 167 Robert F. Wagner,62%,79%,94%,89%,88%,88%
02M183,P.S. 183 Robert L. Stevenson,47%,83%, ,96%,95%,96%
02M198,P.S. 198 Isador E. Ida Straus,96%,72%, ,88%,80%,84%
02M212,P.S. 212 Midtown West,91%,79%, ,96%,96%,98%
02M217,P.S./I.S. 217 Roosevelt Island,57%,73%,96%,92%,86%,91%
02M225,Ella Baker School,38%,73%,95%,95%,92%,94%
02M234,P.S. 234 Independence School,62%,80%, ,92%,87%,94%
02M255,M.S. 255 Salk School of Science,56%,88%,95%,95%,93%,95%
02M260,M.S. 260 Clinton School Writers & Artists,56%,89%,92%,91%,88%,91%
02M267,"East Side Elementary School, PS 267",73%,100%, ,97%,95%,96%
02M276,BATTERY PARK CITY SCHOOL,52%,88%,91%,92%,90%,91%
02M281,The River School,64%,100%, ,88%,88%,91%
02M288,Food and Finance High School,15%,64%,63%,89%,83%,87%
02M289,I.S. 289,52%,74%,99%,92%,92%,93%
02M290,P.S. 290 Manhattan New School,60%,83%, ,96%,94%,96%
02M294,Essex Street Academy,30%,100%,73%,96%,96%,95%
02M296,High School of Hospitality Management,28%,97%,81%,89%,91%,90%
02M298,Pace High School,68%,100%,98%,91%,88%,89%
02M300,"Urban Assembly School of Design and Construction, The",33%,68%,68%,92%,85%,88%
02M303,"Facing History School, The",56%,100%,81%,91%,89%,86%
02M305,"Urban Assembly Academy of Government and Law, The",19%,100%,92%,78%,76%,80%
